date,time_30min,segment_rows,unique_segments,mean_speed_kmh,mean_jam_factor
2025-12-08,14:00,341,341,11.422140762463343,1.7164222873900292
2025-12-08,14:30,341,341,11.464868035190616,1.5545454545454547
2025-12-08,16:00,342,342,11.798040935672514,1.4046783625730994
2025-12-08,16:30,341,341,11.774897360703813,1.4568914956011731
2025-12-08,17:00,341,341,11.583489736070382,1.5612903225806452
2025-12-08,17:30,341,341,11.455894428152492,1.6838709677419357
2025-12-08,18:00,342,342,11.634122807017544,1.7295321637426901
2025-12-08,18:30,342,342,11.62295321637427,1.5915204678362571
2025-12-08,19:00,341,341,12.268709677419356,1.2700879765395894
2025-12-08,19:30,341,341,12.412785923753667,1.1407624633431086
2025-12-08,20:00,342,342,12.872748538011697,0.8973684210526315
2025-12-08,20:30,341,341,13.178475073313782,0.7580645161290323
2025-12-08,21:00,341,341,13.179384164222874,0.8023460410557185
2025-12-08,21:30,341,341,13.145483870967741,0.7979472140762464
2025-12-08,22:00,341,341,13.654486803519063,0.5715542521994135
2025-12-08,22:30,341,341,13.653372434017596,0.5410557184750733
2025-12-08,23:00,341,341,14.017448680351906,0.4249266862170088
2025-12-08,23:30,341,341,14.526862170087977,0.16598240469208211
2025-12-09,00:00,341,341,14.736217008797654,0.11612903225806452
2025-12-09,10:00,341,341,12.37366568914956,1.0287390029325514
2025-12-09,10:30,341,341,12.391554252199414,1.0692082111436951
2025-12-09,11:00,341,341,12.125483870967741,1.1607038123167155
2025-12-09,11:30,341,341,12.152287390029326,1.251026392961877
2025-12-09,12:00,341,341,11.876275659824048,1.3041055718475072
2025-12-09,12:30,341,341,11.875366568914956,1.3343108504398826
2025-12-09,13:00,341,341,11.902903225806451,1.370674486803519
2025-12-09,13:30,341,341,11.691290322580645,1.4038123167155425
2025-12-09,14:00,341,341,12.273284457478004,1.0395894428152492
2025-12-09,14:30,341,341,12.350058651026393,1.1041055718475072
2025-12-09,15:00,341,341,12.102316715542523,1.1926686217008797
2025-12-09,15:30,341,341,12.130938416422286,1.1287390029325512
2025-12-09,16:00,341,341,12.033225806451613,1.2249266862170087
2025-12-09,16:30,341,341,12.097712609970674,1.1750733137829912
2025-12-09,17:00,341,341,11.665806451612903,1.5199413489736069
2025-12-09,17:30,341,341,11.323870967741936,1.7583577712609972
2025-12-09,18:00,341,341,11.562346041055719,1.658944281524927
2025-12-09,18:30,341,341,11.619677419354838,1.5445747800586511
2025-12-09,19:00,341,341,12.268093841642228,1.0932551319648094
2025-12-09,19:30,341,341,12.293695014662756,1.136950146627566
2025-12-09,20:00,341,341,12.779442815249267,0.8730205278592374
2025-12-09,20:30,341,341,13.13126099706745,0.7636363636363636
2025-12-09,21:00,341,341,13.37824046920821,0.6868035190615837
2025-12-09,21:30,341,341,13.313812316715543,0.7439882697947213
2025-12-09,22:00,341,341,13.688387096774193,0.536950146627566
2025-12-09,22:30,341,341,13.905865102639295,0.4633431085043988
2025-12-09,23:00,341,341,13.915747800586512,0.44985337243401763
2025-12-09,23:30,341,341,14.651466275659823,0.1310850439882698
2025-12-10,00:00,341,341,14.758181818181818,0.0873900293255132
2025-12-10,00:30,341,341,14.85692082111437,0.051319648093841645
2025-12-10,01:00,341,341,14.89683284457478,0.06803519061583578
2025-12-10,07:30,344,344,12.365290697674418,1.2822674418604652
2025-12-10,08:00,343,343,12.057113702623907,1.3892128279883382
2025-12-10,08:30,342,342,12.20672514619883,1.2710526315789474
2025-12-10,09:00,341,341,12.483724340175952,1.1026392961876832
2025-12-10,09:30,341,341,12.496041055718473,1.0228739002932552
2025-12-10,10:00,341,341,12.282697947214075,1.1448680351906158
2025-12-10,10:30,341,341,12.453460410557184,0.9853372434017595
2025-12-10,11:00,341,341,12.435806451612903,1.0313782991202345
2025-12-10,11:30,341,341,12.26791788856305,1.0665689149560118
2025-12-10,12:00,341,341,12.10407624633431,1.2076246334310852
2025-12-10,12:30,341,341,12.182111436950148,1.0718475073313782
2025-12-10,13:00,341,341,11.992346041055718,1.2941348973607039
2025-12-10,13:30,341,341,11.703343108504399,1.4759530791788857
2025-12-10,14:00,341,341,11.66891495601173,1.497067448680352
2025-12-10,14:30,341,341,12.001730205278593,1.2797653958944282
2025-12-10,15:00,341,341,12.032551319648094,1.2463343108504399
2025-12-10,15:30,341,341,11.98017595307918,1.2486803519061584
2025-12-10,16:00,341,341,11.951700879765397,1.2730205278592377
2025-12-10,16:30,341,341,11.840351906158357,1.3607038123167154
2025-12-10,17:00,341,341,11.744076246334311,1.4568914956011731
2025-12-10,17:30,341,341,11.292815249266862,1.8067448680351907
2025-12-10,18:00,341,341,11.398563049853372,1.682991202346041
2025-12-10,18:30,341,341,11.851554252199413,1.478299120234604
2025-12-10,19:00,341,341,12.00117302052786,1.2425219941348973
2025-12-10,19:30,341,341,12.143372434017596,1.2434017595307918
2025-12-10,20:00,341,341,12.815366568914955,0.9310850439882697
2025-12-10,20:30,341,341,13.070175953079179,0.8296187683284457
2025-12-10,21:00,341,341,13.276363636363635,0.7595307917888563
2025-12-10,21:30,341,341,13.345366568914958,0.7076246334310851
2025-12-10,22:00,341,341,13.53375366568915,0.6319648093841642
2025-12-10,22:30,341,341,13.756158357771263,0.5296187683284457
2025-12-10,23:00,341,341,14.004017595307918,0.41407624633431084
2025-12-10,23:30,341,341,14.499149560117303,0.1595307917888563
2025-12-11,00:00,341,341,14.698826979472141,0.08797653958944282
2025-12-11,00:30,341,341,14.829032258064515,0.08064516129032258
2025-12-11,01:00,341,341,14.739442815249266,0.08475073313782991
2025-12-11,01:30,341,341,14.806950146627566,0.10146627565982405
2025-12-11,02:00,341,341,14.726451612903226,0.13343108504398826
2025-12-11,02:30,341,341,14.741964809384164,0.13870967741935486
2025-12-11,03:00,341,341,14.794721407624634,0.14193548387096774
2025-12-11,03:30,341,341,14.644222873900294,0.16451612903225807
2025-12-11,04:00,341,341,14.577419354838709,0.17272727272727273
2025-12-11,04:30,341,341,14.508035190615836,0.2058651026392962
2025-12-11,05:00,341,341,14.471348973607038,0.2404692082111437
2025-12-11,05:30,341,341,14.274222873900294,0.2958944281524927
